49,49,244
50,50,191
50,50,250
47,47,248
49,49,252
50,50,246
49,49,246
48,48,251
48,48,252
49,49,254
50,50,242
48,48,252
50,50,247
48,48,247
50,50,244
49,49,251
50,50,248
49,49,254
50,50,249
49,49,250
50,50,239
49,49,164
50,50,227
45,45,252
48,48,230
47,47,231
46,46,248
49,49,245
49,49,234
49,49,253
48,48,251
48,48,240
50,50,252
50,50,239
50,50,250
49,49,252
50,50,232
49,49,246
48,48,252
50,50,251
49,49,173
50,50,237
50,50,251
49,49,255
50,50,241
50,50,252
50,50,244
50,50,256
48,48,233
49,49,254
