49,49,253
50,50,250
50,50,255
47,47,251
49,49,253
50,50,255
49,49,255
48,48,254
48,48,256
49,49,256
50,50,256
48,48,256
50,50,256
48,48,254
50,50,255
49,49,255
50,50,254
49,49,255
50,50,255
49,49,256
50,50,253
49,49,251
50,50,255
45,45,256
48,48,243
47,47,243
46,46,255
49,49,251
49,49,254
49,49,253
48,48,254
48,48,253
50,50,256
50,50,243
50,50,254
49,49,256
50,50,255
49,49,256
48,48,255
50,50,256
49,49,256
50,50,255
50,50,256
49,49,256
50,50,254
50,50,256
50,50,255
50,50,256
48,48,253
49,49,254
