27,27,256
24,24,230
27,27,251
31,31,220
22,22,255
34,34,251
22,22,252
26,26,254
21,21,251
31,31,253
25,25,256
22,22,253
22,22,245
31,31,254
23,23,252
24,24,255
16,16,249
28,28,254
28,28,252
27,27,244
23,23,253
26,27,228
23,23,252
19,19,256
25,25,253
28,28,255
20,20,253
25,25,254
23,23,251
21,21,254
23,23,252
23,23,254
24,24,253
25,25,235
26,26,254
26,26,248
26,26,224
36,36,256
22,22,254
24,24,254
24,24,253
21,21,251
26,26,255
18,18,250
27,27,255
31,31,256
30,30,253
27,27,252
25,25,251
21,21,253
