5,5,2
5,5,2
5,5,2
7,7,2
6,6,2
6,6,2
7,7,2
5,5,2
5,5,2
4,4,2
5,5,2
6,6,2
3,3,2
6,6,2
5,5,2
5,5,2
5,5,2
5,5,2
5,5,2
6,6,2
5,5,2
6,6,2
6,6,2
6,6,2
6,6,2
4,4,2
7,7,2
4,4,2
4,4,2
7,7,2
5,5,2
4,4,2
6,6,2
8,8,2
5,5,2
6,6,2
6,6,2
7,7,2
5,5,2
4,4,2
4,4,2
4,4,2
3,3,2
5,5,2
6,6,2
5,5,2
7,7,2
7,7,2
4,4,2
6,6,2
6,6,2
6,6,2
7,7,2
6,6,2
7,7,2
5,5,2
5,5,2
7,7,2
6,6,2
5,5,2
5,5,2
5,5,2
7,7,2
4,4,2
5,5,2
6,6,2
7,7,2
4,4,2
5,5,2
8,8,2
6,6,2
5,5,2
6,6,2
7,7,2
5,5,2
7,7,2
5,5,2
5,5,2
7,7,2
5,5,2
4,4,2
5,5,2
4,4,2
5,5,2
4,4,2
5,5,2
4,4,2
6,6,2
5,5,2
5,5,2
6,6,2
4,4,2
7,7,2
3,3,2
3,3,2
6,6,2
5,5,2
7,7,2
5,5,2
8,8,2
7,7,2
7,7,2
4,4,2
6,6,2
5,5,2
6,6,2
8,8,2
5,5,2
5,5,2
4,4,2
4,4,2
4,4,2
6,6,2
5,5,2
7,7,2
5,5,2
6,6,2
6,6,2
2,2,2
7,7,2
2,2,2
5,5,2
6,6,2
9,9,2
6,6,2
6,6,2
7,7,2
5,5,2
5,5,2
5,5,2
5,5,2
4,4,2
3,3,2
4,4,2
4,4,2
4,4,2
3,3,2
8,8,2
5,5,2
6,6,2
4,4,2
5,5,2
5,5,2
5,5,2
3,3,2
6,6,2
4,4,2
4,4,2
6,6,2
6,6,2
5,5,2
7,7,2
4,4,2
6,6,2
6,6,2
4,4,2
3,3,2
5,5,2
5,5,2
7,7,2
5,5,2
5,5,2
5,5,2
5,5,2
4,4,2
6,6,2
5,5,2
5,5,2
7,7,2
5,5,2
7,7,2
4,4,2
7,7,2
8,8,2
6,6,2
5,5,2
7,7,2
5,5,2
6,6,2
6,6,2
6,6,2
5,5,2
5,5,2
4,4,2
5,5,2
5,5,2
8,8,2
4,4,2
7,7,2
5,5,2
7,7,2
6,6,2
4,4,2
5,5,2
7,7,2
5,5,2
7,7,2
6,6,2
5,5,2
6,6,2
3,3,2
4,4,2
5,5,2
5,5,2
7,7,2
6,6,2
5,5,2
8,8,2
6,6,2
4,4,2
4,4,2
6,6,2
5,5,2
7,7,2
7,7,2
5,5,2
7,7,2
5,5,2
8,8,2
5,5,2
5,5,2
